!x	fA	fB	fC	fD	A	B	C	D
0.874588307	0.014927216	0.201155131	0.697191306	0.241285004	0.01501	0.20313	0.69577	0.24107
0.892660118	0.014864767	0.196779932	0.700015348	0.241514063	0.01496	0.19864	0.69865	0.24133
0.91354608	0.014790413	0.191839413	0.703193932	0.241770868	0.01488	0.19345	0.70198	0.24162
0.939918487	0.014694535	0.185808614	0.707056893	0.24208212	0.01478	0.18691	0.70619	0.24199
1	0.01447609	0.173122492	0.715114811	0.24273239	0.01451	0.17206	0.71576	0.24284
1.037993815	0.014343624	0.165986519	0.719608547	0.243098972	0.01429	0.16179	0.72238	0.24343
1.05811493	0.014276546	0.16251429	0.721787568	0.243278779	0.01421	0.15846	0.72453	0.24362
1.07490538	0.014222511	0.159785374	0.723498167	0.243421234	0.01415	0.15609	0.72606	0.24376
1.089994279	0.01417558	0.157465553	0.724952015	0.243543405	0.01411	0.1542	0.72729	0.24387
1.104031494	0.014133378	0.155420577	0.726234263	0.243652139	0.01407	0.1526	0.72832	0.24396
1.117357408	0.014094657	0.153579975	0.727389683	0.24375103	0.01403	0.15121	0.72922	0.24404
1.130178073	0.014058667	0.151901186	0.728445371	0.243842242	0.014	0.14996	0.73003	0.24411
1.142630342	0.014024913	0.150356126	0.729419238	0.243927204	0.01397	0.14883	0.73076	0.24418
1.154811296	0.01399305	0.148925095	0.730323875	0.244006914	0.01394	0.14779	0.73143	0.24424
1.166793338	0.013962823	0.147593633	0.731168538	0.244082101	0.01391	0.14683	0.73205	0.24429
1.17863267	0.013934041	0.146350745	0.731960276	0.244153317	0.01389	0.14594	0.73263	0.24434
1.190374394	0.013906555	0.145187831	0.732704605	0.244220992	0.01387	0.1451	0.73318	0.24439
1.202055752	0.013880245	0.144098001	0.733405941	0.244285466	0.01385	0.14431	0.73369	0.24444
1.213708269	0.013855017	0.143075622	0.734067886	0.244347011	0.01383	0.14356	0.73417	0.24448
1.225359238	0.01383079	0.142116008	0.73469343	0.244405851	0.01381	0.14285	0.73463	0.24452
1.237032768	0.013807501	0.141215191	0.735285084	0.244462173	0.01379	0.14217	0.73507	0.24456
1.248750548	0.013785093	0.140369766	0.735844987	0.244516131	0.01377	0.14153	0.73549	0.2446
1.260532427	0.013763521	0.139576763	0.736374982	0.244567855	0.01375	0.14091	0.73589	0.24464
1.272396845	0.013742745	0.138833563	0.73687667	0.244617454	0.01373	0.14032	0.73627	0.24467
1.284361186	0.01372273	0.138137822	0.737351457	0.244665024	0.01372	0.13975	0.73664	0.2447
1.296442049	0.013703448	0.137487415	0.737800588	0.244710644	0.0137	0.1392	0.73699	0.24474
1.30865547	0.013684874	0.136880396	0.738225173	0.244754383	0.01369	0.13868	0.73734	0.24477
1.321017113	0.013666984	0.136314958	0.738626211	0.244796301	0.01367	0.13817	0.73766	0.2448
1.333542428	0.01364976	0.135789409	0.739004607	0.244836449	0.01366	0.13768	0.73798	0.24483
1.34624679	0.013633186	0.135302143	0.739361185	0.24487487	0.01364	0.13721	0.73828	0.24485
1.35914562	0.013617246	0.134851627	0.739696702	0.244911603	0.01363	0.13676	0.73858	0.24488
1.3722545	0.013601927	0.134436381	0.740011855	0.244946681	0.01362	0.13632	0.73886	0.2449
1.385589274	0.013587219	0.134054965	0.740307293	0.244980132	0.0136	0.1359	0.73914	0.24493
1.399166149	0.013573112	0.133705971	0.740583621	0.24501198	0.01359	0.13549	0.7394	0.24495
1.413001788	0.013559597	0.133388014	0.740841407	0.245042246	0.01358	0.1351	0.73966	0.24498
1.427113408	0.013546668	0.133099721	0.741081184	0.245070949	0.01357	0.13472	0.7399	0.245
1.441518868	0.013534318	0.132839731	0.74130346	0.245098102	0.01356	0.13435	0.74014	0.24502
1.456236775	0.013522542	0.132606687	0.741508715	0.245123719	0.01355	0.134	0.74037	0.24504
1.471286572	0.013511336	0.132399236	0.741697407	0.245147811	0.01354	0.13366	0.74059	0.24506
1.486688651	0.013500697	0.132216025	0.741869973	0.245170387	0.01353	0.13333	0.7408	0.24508
1.50246446	0.013490623	0.1320557	0.742026831	0.245191453	0.01352	0.13302	0.741	0.2451
1.518636619	0.013481112	0.13191691	0.742168384	0.245211017	0.01351	0.13272	0.7412	0.24511
