,moment,+1000kN,+1500kN,+2000kN,+2500kN,-1000kN,-1500kN,-2000kN,-2500kN
85,425.5,-3875.8559,-1349.5372,-327.46614,-223.48605,-966.67285,-225.7253,137.78338,96.749616
86,430.5,-4138.5056,-1409.0733,-336.36497,-229.55592,-933.10943,-286.9047,138.87987,98.981532
87,435.5,-4389.6294,-1482.1423,-346.60374,-235.64408,-872.3319,-358.24951,139.58511,101.19638
88,440.5,-4637.329,-1573.4096,-357.65867,-241.50199,-811.85124,-439.66828,139.47523,103.40224
89,445.5,-4873.2288,-1711.008,-369.57483,-247.41944,-745.10022,-515.09227,138.68834,105.58071
90,450.5,-5098.1026,-1948.7161,-382.72785,-253.5112,-671.1626,-592.17961,137.03443,107.69013
91,455.5,-5313.1446,-2169.0938,-397.23988,-259.72292,-587.30538,-670.02685,134.66911,109.76226
92,460.5,-5519.7999,-2425.3258,-415.32624,-265.98944,-494.66301,-750.36215,131.62939,111.79827
93,465.5,-5719.6038,-2706.1414,-438.0826,-272.50165,-397.72691,-833.65368,130.11303,113.8209
94,470.5,-5913.9929,-2984.0454,-465.84163,-279.77225,-302.73763,-914.17319,127.60319,115.85672
95,475.5,-6104.3461,-3292.426,-498.39957,-287.68715,-191.3393,-979.21166,124.36702,117.99937
96,480.5,-6291.7725,-3588.8273,-534.42974,-296.20366,-191.3393,-1022.0745,120.60706,120.44301
97,485.5,-6476.9232,-3835.2159,-575.05527,-305.83425,-191.3393,-1040.3721,116.21854,123.1214
98,490.5,-6657.5441,-4074.7961,-619.6212,-316.25615,-191.3393,-1037.3184,111.10853,125.71348
99,495.5,-6835.4585,-4314.2076,-668.48287,-327.47539,-191.3393,-1046.4553,105.14039,128.15218
100,500.49999999999994,-6995.3248,-4527.1198,-717.86103,-338.69552,-191.3393,-1027.6216,98.199117,130.23459
